ItemID,ItemCode,ItemDescription,BV,QV,Wholesale Price,Web Category,Sub Category,ShortDetail,ShortDetail2,ShortDetail3,ShortDetail4,LongDetail,LongDetail2,LongDetail3,LongDetail4,TinyImageUrl,SmallImageUrl,LargeImageUrl,ItemTypeID,Weight,IsVirtual,AllowOnAutoOrder,Field1,Field2,Field3,Field4,Field5,Field6,Field7,Field8,Field9,Field10,OtherCheck1,OtherCheck2,OtherCheck3,OtherCheck4,OtherCheck5,IsGroupMaster,GroupDescription,GroupMembersDescription,IsDynamicKitMaster,AvailableAllCountryRegions,AllowPartialAmounts,Auto1,Auto2,Auto3,ItemType
,USML9021,Mialisia Fall 2015 Catalog (10 Pack),0,0,30,"(1, 183)",,,,,,,,,,,C:\inetpub\buyygy\90forLifeStore\content\images\thumbs\0005327_mialisia-fall-2015-catalog-10-pack.jpeg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USML0021,MIALISIA COLLECTION 1,41,50,53,"(1, 183)",,,,,,,,,,,C:\inetpub\buyygy\90forLifeStore\content\images\thumbs\0005430_mialisia-collection-1.jpeg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USML0022,MIALISIA COLLECTION 2,50,55,59,"(1, 183)",,,,,,,,,,,C:\inetpub\buyygy\90forLifeStore\content\images\thumbs\0005431_mialisia-collection-2.jpeg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USML0023,MIALISIA COLLECTION 3,72,80,89,"(1, 183)",,,,,,,,,,,C:\inetpub\buyygy\90forLifeStore\content\images\thumbs\0005432_mialisia-collection-3.jpeg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USML0024,MIALISIA COLLECTION 4,74,82,91,"(1, 183)",,,,,,,,,,,C:\inetpub\buyygy\90forLifeStore\content\images\thumbs\0005433_mialisia-collection-4.jpeg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USML0025,MIALISIA COLLECTION 5,31,34,38,"(1, 183)",,,,,,,,,,,C:\inetpub\buyygy\90forLifeStore\content\images\thumbs\0005434_mialisia-collection-5.jpeg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USML100000,SUGAR AND SPICE,29,44,44.8,"(1, 183)",,,,,,,,,,,C:\inetpub\buyygy\90forLifeStore\content\images\thumbs\0004402_sugar-and-spice.jpeg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USML100001,MORNING GLORY,30,39,39.2,"(1, 183)",,,,,,,,,,,C:\inetpub\buyygy\90forLifeStore\content\images\thumbs\0004410_morning-glory.jpeg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USML100002,SORRENTO,27,30,32.2,"(1, 183)",,,,,,,,,,,C:\inetpub\buyygy\90forLifeStore\content\images\thumbs\0004411_sorrento.jpeg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USML100003,PRIMARY SHAPES,25,34,34.3,"(1, 183)",,,,,,,,,,,C:\inetpub\buyygy\90forLifeStore\content\images\thumbs\0004412_primary-shapes.jpeg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USML100004,GOLD LUSH,39,41,41.3,"(1, 183)",,,,,,,,,,,C:\inetpub\buyygy\90forLifeStore\content\images\thumbs\0004753_gold-lush.jpeg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USML100005,AUDREY,52,54,54.6,"(1, 183)",,,,,,,,,,,C:\inetpub\buyygy\90forLifeStore\content\images\thumbs\0004719_audrey.jpeg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USML100006,LEXIE,22,22,22.4,"(1, 183)",,,,,,,,,,,C:\inetpub\buyygy\90forLifeStore\content\images\thumbs\0004720_lexie.jpeg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USML100007,SADIE,21,22,22.4,"(1, 183)",,,,,,,,,,,C:\inetpub\buyygy\90forLifeStore\content\images\thumbs\0004721_sadie.jpeg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USML100008,WILLA,18,20,20.3,"(1, 183)",,,,,,,,,,,C:\inetpub\buyygy\90forLifeStore\content\images\thumbs\0004722_willa.jpeg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USML100009,AMOUR ONYX NECKLACE,34,34,34.3,"(1, 183)",,,,,,,,,,,C:\inetpub\buyygy\90forLifeStore\content\images\thumbs\0004718_amour-onyx-necklace.jpeg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USML100010,AMOUR CRIMSON NECKLACE,34,34,34.3,"(1, 183)",,,,,,,,,,,C:\inetpub\buyygy\90forLifeStore\content\images\thumbs\0004723_amour-crimson-necklace.jpeg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USML100011,MIRAI GOLD,47,49,49,"(1, 183)",,,,,,,,,,,C:\inetpub\buyygy\90forLifeStore\content\images\thumbs\0004724_mirai-gold.jpeg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USML100012,MIRAI SILVER,46,49,49,"(1, 183)",,,,,,,,,,,C:\inetpub\buyygy\90forLifeStore\content\images\thumbs\0004725_mirai-silver.jpeg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USML100013,VICTORIA ANTIQUE BRASS,46,47,47.6,"(1, 183)",,,,,,,,,,,C:\inetpub\buyygy\90forLifeStore\content\images\thumbs\0004726_victoria-antique-brass.jpeg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USML100014,VICTORIA SILVER,44,46,46.2,"(1, 183)",,,,,,,,,,,C:\inetpub\buyygy\90forLifeStore\content\images\thumbs\0004727_victoria-silver.jpeg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USML100015,ZOE NECKLACE,52,53,53.9,"(1, 183)",,,,,,,,,,,C:\inetpub\buyygy\90forLifeStore\content\images\thumbs\0004728_zoe-necklace.jpeg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USML100016,ZOE SLIDE BLACK,11,14,14,"(1, 183)",,,,,,,,,,,C:\inetpub\buyygy\90forLifeStore\content\images\thumbs\0004729_zoe-slide-black.jpeg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USML100017,ZOE SLIDE RED,11,14,14,"(1, 183)",,,,,,,,,,,C:\inetpub\buyygy\90forLifeStore\content\images\thumbs\0004737_zoe-slide-red.jpeg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USML100018,ZOE SLIDE TURQUOISE,11,14,14,"(1, 183)",,,,,,,,,,,C:\inetpub\buyygy\90forLifeStore\content\images\thumbs\0004736_zoe-slide-turquoise.jpeg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USML100019,ONYX RAIN,15,34,34.3,"(1, 183)",,,,,,,,,,,C:\inetpub\buyygy\90forLifeStore\content\images\thumbs\0004413_onyx-rain.jpeg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USML100021,SIMPLICITY,19,43,43.4,"(1, 183)",,,,,,,,,,,C:\inetpub\buyygy\90forLifeStore\content\images\thumbs\0004414_simplicity.jpeg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USML100022,PERFECT CIRCLE,20,25,25.2,"(1, 183)",,,,,,,,,,,C:\inetpub\buyygy\90forLifeStore\content\images\thumbs\0004415_perfect-circle.jpeg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USML100023,CORAL DELICATE,22,43,43.4,"(1, 183)",,,,,,,,,,,C:\inetpub\buyygy\90forLifeStore\content\images\thumbs\0004416_coral-delicate.jpeg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USML100024,MADISON,28,38,37.8,"(1, 183)",,,,,,,,,,,C:\inetpub\buyygy\90forLifeStore\content\images\thumbs\0004417_madison.jpeg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USML100025,SUMMER DAYS,19,26,26.6,"(1, 183)",,,,,,,,,,,C:\inetpub\buyygy\90forLifeStore\content\images\thumbs\0004581_summer-days.jpeg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USML100026,SIMPLY BRONZE NECKLACE,15,18,18.2,"(1, 183)",,,,,,,,,,,C:\inetpub\buyygy\90forLifeStore\content\images\thumbs\0004651_simply-bronze-necklace.jpeg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USML100028,CLEARLY CLASSIC,25,34,34.3,"(1, 183)",,,,,,,,,,,C:\inetpub\buyygy\90forLifeStore\content\images\thumbs\0004419_clearly-classic.jpeg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USML100029,VENEZIA,38,60,60.9,"(1, 183)",,,,,,,,,,,C:\inetpub\buyygy\90forLifeStore\content\images\thumbs\0004420_venezia.jpeg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USML100030,POSH,47,57,58.8,"(1, 183)",,,,,,,,,,,C:\inetpub\buyygy\90forLifeStore\content\images\thumbs\0004421_posh.jpeg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USML100031,SILVER LYNX,21,27,27.3,"(1, 183)",,,,,,,,,,,C:\inetpub\buyygy\90forLifeStore\content\images\thumbs\0004563_silver-lynx.jpeg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USML100032,JULIE TUESDAY,26,34,34.3,"(1, 183)",,,,,,,,,,,C:\inetpub\buyygy\90forLifeStore\content\images\thumbs\0004422_julie-tuesday.jpeg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USML100033,SILVER DREAM,25,38,38.5,"(1, 183)",,,,,,,,,,,C:\inetpub\buyygy\90forLifeStore\content\images\thumbs\0004423_silver-dream.jpeg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USML100034,SEPHIRA,35,45.5,45.5,"(1, 183)",,,,,,,,,,,C:\inetpub\buyygy\90forLifeStore\content\images\thumbs\0004424_sephira.jpeg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USML100035,AZIZA,24,31,31.5,"(1, 183)",,,,,,,,,,,C:\inetpub\buyygy\90forLifeStore\content\images\thumbs\0004425_aziza.jpeg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USML100036,LADY LIBERTY,34,31,31.5,"(1, 183)",,,,,,,,,,,C:\inetpub\buyygy\90forLifeStore\content\images\thumbs\0004426_lady-liberty.jpeg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USML100037,TIMES SQUARE,40,49,50.4,"(1, 183)",,,,,,,,,,,C:\inetpub\buyygy\90forLifeStore\content\images\thumbs\0004427_times-square.jpeg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USML100038,LONG ISLAND,21,25,25.2,"(1, 183)",,,,,,,,,,,C:\inetpub\buyygy\90forLifeStore\content\images\thumbs\0004428_long-island.jpeg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USML100040,HAZEL MOON,19,25,25.2,"(1, 183)",,,,,,,,,,,C:\inetpub\buyygy\90forLifeStore\content\images\thumbs\0004429_hazel-moon.jpeg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USML100041,Sassy Hoops,25,32,32.2,"(1, 183)",,,,,,,,,,,C:\inetpub\buyygy\90forLifeStore\content\images\thumbs\0004430_sassy-hoops.jpeg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USML100042,SPUN SUGAR,31,47,47.6,"(1, 183)",,,,,,,,,,,C:\inetpub\buyygy\90forLifeStore\content\images\thumbs\0004431_spun-sugar.jpeg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,USML100043,LUSH,23,35,35,"(1, 183)",,,,,,,,,,,C:\inetpub\buyygy\90forLifeStore\content\images\thumbs\0004432_lush.jpeg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
